People,"Population estimates, July 1, 2014,  (V2014)
","Population estimates base, April 1, 2010,  (V2014)
","Population, percent change - April 1, 2010 (estimates base) to July 1, 2014,  (V2014)
","Population estimates, July 1, 2013,  (V2013)","Population estimates base, April 1, 2010,  (V2013)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2013,  (V2013)","Persons under 5 years, percent, July 1, 2013,  (V2013)","Persons under 18 years, percent, July 1, 2013,  (V2013)","Persons 65 years and over, percent,  July 1, 2013,  (V2013)","Female persons, percent,  July 1, 2013,  (V2013)","White alone, percent, July 1, 2013,  (V2013)  (a)","Black or African American alone, percent, July 1, 2013,  (V2013)  (a)","American Indian and Alaska Native alone, percent, July 1, 2013,  (V2013)  (a)","Asian alone, percent, July 1, 2013,  (V2013)  (a)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2013,  (V2013)  (a)","Two or More Races, percent, July 1, 2013,  (V2013)","Hispanic or Latino, percent, July 1, 2013,  (V2013)  (b)","White alone, not Hispanic or Latino, percent, July 1, 2013,  (V2013)","Population, Census, April 1, 2010","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent, April 1, 2010","Female persons, percent, April 1, 2010","White alone, percent, April 1, 2010  (a)","Black or African American alone, percent, April 1, 2010  (a)","American Indian and Alaska Native alone, percent, April 1, 2010  (a)","Asian alone, percent, April 1, 2010  (a)","Native Hawaiian and Other Pacific Islander alone, percent, April 1, 2010  (a)","Two or More Races, percent, April 1, 2010","Hispanic or Latino, percent, April 1, 2010  (b)","White alone, not Hispanic or Latino, percent, April 1, 2010","Housing units,  July 1, 2013,  (V2013)","Housing units, April 1, 2010","Households, 2009-2013","Persons per household, 2009-2013","High school graduate or higher, percent of persons age 25 years+, 2009-2013","Bachelor's degree or higher, percent of persons age 25 years+, 2009-2013","Veterans, 2009-2013","With a disability, under age 65 years, percent, 2009-2013","Living in same house 1 year ago, percent of persons age 1 year+, 2009-2013","Foreign born persons, percent, 2009-2013","Language other than English spoken at home, percent of persons age 5 years+, 2009-2013","In civilian labor force, total, percent of population age 16 years+, 2009-2013","In civilian labor force, female, percent of population age 16 years+, 2009-2013","Mean travel time to work (minutes), workers age 16 years+, 2009-2013","Median household income (in 2013 dollars), 2009-2013","Per capita income in past 12 months (in 2013 dollars), 2009-2013","Owner-occupied housing unit rate, 2009-2013","Median value of owner-occupied housing units, 2009-2013","Median selected monthly owner costs -without a mortgage, 2009-2013","Median gross rent, 2009-2013 ","Persons  without health insurance, under age 65 years, percent","Persons in poverty, percent","Median selected monthly owner costs -with a mortgage, 2009-2013",Businesses,"Total employer establishments, 2012","Total employment, 2012","Total annual payroll, 2012","Total employment, percent change, 2011-2012","Total nonemployer establishments, 2012","All firms, 2007","Men-owned firms, 2007","Women-owned firms, 2007","Minority-owned firms, 2007","Nonminority-owned firms, 2007","Veteran-owned firms, 2007","Nonveteran-owned firms, 2007","Total accommodation and food services sales, 2007 ($1,000)   (c)","Total health care and social assistance receipts/revenue, 2007 ($1,000)   (c)","Total manufacturers shipments, 2007 ($1,000)   (c)","Total merchant wholesaler sales, 2007 ($1,000)      (c)","Total retail sales, 2007 ($1,000)   (c)","Total retail sales per capita, 2007   (c)","Building permits, 2013",Geography,"Population per square mile, 2010 ","Land area in square miles, 2010",FIPS Code
Iowa,3107126,3046869,2.0,3090416,3046857,1.4,6.3,23.4,15.6,50.4,92.5,3.3,0.5,2.0,0.1,1.6,5.5,87.6,3046355,6.6,23.9,14.9,50.5,91.3,2.9,0.4,1.7,0.1,1.8,5.0,88.7,1349617,1336417,1226547,2.42,91.0,25.7,226175,7.8,84.8,4.5,7.2,68.1,63.8,18.8,51843,27027,72.2,124300,420,670,9.5,12.7,1178,Iowa,80649(1),1293694(1),48946464(1),2.4(1),203701,259931,120029,66238,8129,239103,23867,209613,4737719,15371567,97592051,41068338,39234649,13172,10877,Iowa,54.5,55857.13,19
Kansas,2904021,2853132,1.8,2893957,2853116,1.4,6.9,25.0,14.0,50.2,87.1,6.2,1.2,2.7,0.1,2.7,11.2,77.1,2853118,7.2,25.5,13.2,50.4,83.8,5.9,1.0,2.4,0.1,3.0,10.5,78.2,1239706,1233215,1110440,2.51,89.8,30.3,211113,8.5,83.2,6.7,11.0,67.1,62.7,19.0,51332,26929,67.5,128400,440,732,14.2,14.0,1290,Kansas,73944(1),1134216(1),45608072(1),1.9(1),188168,237040,105315,65174,18249,206486,22898,188892,4192347,15128745,76751828,45863865,34538332,12444,8285,Kansas,34.9,81758.72,20
Kentucky,4413457,4339349,1.7,4395295,4339357,1.3,6.3,23.1,14.4,50.8,88.5,8.2,0.3,1.3,0.1,1.7,3.3,85.6,4339367,6.5,23.6,13.3,50.8,87.8,7.8,0.2,1.1,0.1,1.7,3.1,86.3,1936565,1927164,1694996,2.50,83.0,21.5,312365,12.8,84.8,3.3,5.0,59.6,55.3,22.8,43036,23462,68.4,120400,329,655,16.6,18.8,1123,Kentucky,89795(1),1481323(1),56039216(1),1.2(1),275230,337600,174156,86401,20221,304358,31467,277687,6300866,22151809,119105421,74680759,50405925,11843,8955,Kentucky,109.9,39486.34,21
Louisiana,4649676,4533479,2.6,4625470,4533372,2.0,6.7,24.1,13.3,51.1,63.5,32.4,0.8,1.7,0.1,1.5,4.7,59.6,4533372,6.9,24.7,12.3,51.0,62.6,32.0,0.7,1.5,Z,1.6,4.2,60.3,1990835,1964981,1707852,2.60,82.6,21.8,304271,11.0,85.8,3.9,8.7,61.1,56.7,24.9,44874,24442,67.0,138900,318,773,18.9,19.8,1201,Louisiana,104059(1),1644282(1),68864331(1),1.7(1),345755,375808,188952,102849,83279,275944,38286,306789,9729869,23685380,205054723,51415553,56543203,12921,14015,Louisiana,104.9,43203.90,22
Maine,1330089,1328361,0.1,1328302,1328361,Z,4.9,19.7,17.7,51.0,95.2,1.4,0.7,1.1,Z,1.6,1.4,94.0,1328361,5.2,20.7,15.9,51.1,95.2,1.2,0.6,1.0,Z,1.6,1.3,94.4,723128,721830,553823,2.33,91.1,27.9,126842,11.5,86.4,3.4,6.8,64.1,60.7,23.3,48453,26824,71.8,174500,467,764,13.5,14.0,1345,Maine,40120(1),486838(1),18486234(1),1.5(1),110117,150389,78603,38486,3392,141001,15946,121221,2515827,8592397,16363192,8823719,20444031,15520,3427(1),Maine,43.1,30842.92,23
Maryland,5976407,5773785,3.5,5928814,5773623,2.7,6.2,22.7,13.4,51.5,60.5,30.1,0.6,6.1,0.1,2.6,9.0,53.3,5773552,6.3,23.4,12.3,51.6,58.2,29.4,0.4,5.5,0.1,2.9,8.2,54.7,2404012,2378814,2146240,2.65,88.7,36.8,427068,7.0,86.7,14.0,16.7,68.6,64.9,32.0,73538,36354,67.6,292700,582,1196,11.5,10.1,2037,Maryland,134305(1),2152458(1),105889051(1),2.3(1),442314,528112,269690,172083,164130,339940,54039,438343,10758428,33826636,41456097,51276797,75664186,13429,17918,Maryland,594.8,9707.24,24
Massachusetts,6745408,6547817,3.0,6692824,6547629,2.2,5.5,20.8,14.8,51.5,83.2,8.1,0.5,6.0,0.1,2.1,10.5,75.1,6547629,5.6,21.7,13.8,51.6,80.4,6.6,0.3,5.3,Z,2.6,9.6,76.1,2813536,2808254,2530147,2.51,89.4,39.4,383087,7.7,86.7,15.0,21.9,67.6,63.3,28.0,66866,35763,62.7,330100,698,1069,4.3,11.9,2116,Massachusetts,171278(1),3035897(1),173247358(1),2.5(1),480410,596790,335223,178101,64998,506945,53299,507725,14917210,51946134,86428959,95275672,88082966,13553,14569,Massachusetts,839.4,7800.06,25
Michigan,9909877,9884133,0.3,9895622,9883701,0.1,5.8,22.7,15.0,50.9,80.1,14.3,0.7,2.7,Z,2.2,4.7,76.1,9883640,6.0,23.7,13.8,50.9,78.9,14.2,0.6,2.4,Z,2.3,4.4,76.6,4525141,4532233,3823280,2.53,88.9,25.9,672213,10.0,85.3,6.1,9.1,61.8,57.8,24.0,48411,25681,72.1,121700,461,768,12.8,17.0,1325,Michigan,217440(1),3468089(1),152248431(1),2.6(1),687629,816972,411667,248381,108932,673544,66739,693466,14536648,52758385,234455768,107109349,109102594,10855,15757(1),Michigan,174.8,56538.90,26
Minnesota,5457173,5303925,2.9,5420380,5303925,2.2,6.4,23.6,13.9,50.3,86.2,5.7,1.3,4.5,0.1,2.3,5.0,81.9,5303925,6.7,24.2,12.9,50.4,85.3,5.2,1.1,4.0,Z,2.4,4.7,83.1,2368711,2347201,2107232,2.47,92.1,32.6,366990,6.9,85.6,7.3,10.7,70.2,66.4,22.9,59836,30913,72.5,187900,466,819,9.4,11.2,1547,Minnesota,145776(1),2480643(1),116324440(1),3.6(1),388555,496657,251840,133260,31074,443844,43480,411054,10423660,33997419,107563060,82878056,71384103,13751,17313,Minnesota,66.6,79626.74,27
Mississippi,2994079,2968103,0.9,2991207,2967299,0.8,6.6,24.7,13.9,51.4,59.8,37.4,0.6,1.0,0.1,1.1,2.9,57.5,2967297,7.1,25.5,12.8,51.4,59.1,37.0,0.5,0.9,Z,1.1,2.7,58.0,1283165,1274719,1088073,2.65,81.5,20.1,200748,11.9,85.8,2.2,3.9,58.1,54.3,23.9,39031,20618,69.4,99900,337,702,19.8,24.0,1085,Mississippi,58644(1),895804(1),30897159(1),0.9(1),199777,225977,122414,60840,46791,170918,26125,181256,7045097,14113796,59869456,23003585,33751407,11552,6799,Mississippi,63.2,46923.27,28
Missouri,6063589,5988923,1.2,6044171,5988923,0.9,6.2,23.1,15.0,51.0,83.7,11.7,0.5,1.8,0.1,2.0,3.9,80.4,5988927,6.5,23.8,14.0,51.0,82.8,11.6,0.5,1.6,0.1,2.1,3.5,81.0,2719001,2712729,2360131,2.47,87.6,26.2,479828,10.1,83.8,3.9,6.1,63.9,60.0,23.1,47380,25649,68.4,137000,388,727,15.2,15.9,1227,Missouri,146604(1),2320239(1),95330830(1),1(1),394685,501064,236577,130772,42744,434752,48103,400438,11070634,32886620,110907604,81032913,76575216,12957,13708,Missouri,87.1,68741.52,29
Montana,1023579,989417,3.5,1015165,989417,2.6,6.0,22.1,16.2,49.8,89.5,0.6,6.5,0.8,0.1,2.5,3.3,87.0,989415,6.3,22.6,14.8,49.8,89.4,0.4,6.3,0.6,0.1,2.5,2.9,87.8,485771,482825,405525,2.39,92.1,28.7,94404,9.0,83.6,2.0,4.4,64.2,60.5,18.0,46230,25373,68.3,184200,381,682,19.5,16.5,1293,Montana,36241(1),343842(1),11885907(1),2.3(1),84767,114398,52559,28107,4287,103495,12141,89635,2079426,4970763,10638145,8202782,14686854,15343,4854,Montana,6.8,145545.80,30
Nebraska,1881503,1826341,3.0,1868516,1826341,2.3,7.0,24.9,14.1,50.2,89.7,4.8,1.3,2.1,0.1,2.0,9.9,81.0,1826341,7.2,25.1,13.5,50.4,86.1,4.5,1.0,1.8,0.1,2.2,9.2,82.1,807034,796793,725787,2.47,90.5,28.5,142176,7.2,83.3,6.3,10.5,70.3,65.8,18.1,51672,26899,67.0,128000,458,706,13.0,13.2,1278,Nebraska,52294(1),818289(1),31736125(1),2.6(1),127097,159665,71374,41001,8814,142676,15933,125663,2685580,10081011,40157999,24019868,26486612,14965,7543,Nebraska,23.8,76824.17,31
Nevada,2839099,2700692,5.1,2790136,2700552,3.3,6.4,23.7,13.7,49.6,76.7,9.0,1.6,8.1,0.7,3.9,27.5,52.2,2700551,6.9,24.6,12.0,49.5,66.2,8.1,1.2,7.2,0.6,4.7,26.5,54.1,1186879,1173814,999016,2.70,84.6,22.4,226555,8.1,77.7,19.1,29.3,65.5,60.6,23.8,52800,26589,56.7,169100,429,986,23.6,15.8,1608,Nevada,59417(1),1014570(1),40126669(1),1.4(1),184246,221260,102256,63285,45533,158110,23656,173232,28815533,12191163,15735787,19255893,37433983,14579,11174,Nevada,24.6,109781.18,32
New Hampshire,1326813,1316466,0.8,1323459,1316469,0.5,5.0,20.5,15.4,50.6,94.2,1.5,0.3,2.4,Z,1.6,3.2,91.6,1316470,5.3,21.8,13.5,50.7,93.9,1.1,0.2,2.2,Z,1.6,2.8,92.3,616537,614754,518245,2.47,91.8,33.7,112790,8.1,86.5,5.4,8.0,69.1,64.7,26.3,64916,33134,71.4,239900,729,987,12.6,8.7,1918,New Hampshire,37213(1),548985(1),24055321(1),-0.9(1),102310,137815,76119,35511,4837,127063,13921,112840,2630968,8085663,18592406,14564458,25353874,19246,2788,New Hampshire,147.0,8952.65,33
New Jersey,8938175,8791936,1.7,8899339,8791909,1.2,6.0,22.7,14.4,51.2,73.4,14.7,0.6,9.2,0.1,2.0,18.9,57.6,8791894,6.2,23.5,13.5,51.3,68.6,13.7,0.3,8.3,Z,2.7,17.7,59.3,3578141,3553562,3186418,2.71,88.1,35.8,437652,6.5,90.1,21.2,30.0,66.4,60.9,30.4,71629,36027,65.6,327100,961,1172,15.1,11.4,2453,New Jersey,228289(1),3440470(1),189910527(1),1.9(1),620282,781622,449596,213374,182489,563660,61767,673249,19993613,51913683,116608094,233413004,124813580,14453,24209,New Jersey,1195.5,7354.22,34
New Mexico,2085572,2059192,1.3,2085287,2059183,1.3,6.7,24.3,14.7,50.4,82.9,2.5,10.4,1.6,0.2,2.4,47.3,39.4,2059179,7.0,25.2,13.2,50.6,68.4,2.1,9.4,1.4,0.1,3.7,46.3,40.5,905135,901388,761938,2.66,83.6,25.8,172717,9.7,85.3,9.8,36.1,60.2,55.9,21.6,44927,23763,68.7,160000,318,758,21.6,21.9,1243,New Mexico,43883(1),602715(1),22380464(1),0.9(1),120916,157231,67167,49915,48976,96255,15157,125108,3734300,8834132,17122725,10589286,24469997,12429,5161(1),New Mexico,17.0,121298.15,35
New York,19746227,19378112,1.9,19651127,19378105,1.4,6.0,21.6,14.4,51.5,70.9,17.5,1.0,8.2,0.1,2.3,18.4,57.2,19378102,6.0,22.3,13.5,51.6,65.7,15.9,0.6,7.3,Z,3.0,17.6,58.3,8126026,8108103,7234743,2.61,85.2,33.2,912499,7.2,88.8,22.1,29.9,63.5,58.8,31.6,58003,32382,54.2,288200,704,1088,12.3,16.0,2040,New York,527001(1),7556521(1),451846838(1),2.5(1),1612106,1956733,1110075,594517,537544,1332274,127120,1720252,39813499,128595239,162720173,313461904,230718065,11879,32581,New York,411.2,47126.40,36
North Carolina,9943964,9535691,4.3,9848060,9535471,3.3,6.2,23.2,14.3,51.3,71.7,22.0,1.6,2.6,0.1,2.0,8.9,64.4,9535483,6.6,23.9,12.9,51.3,68.5,21.5,1.3,2.2,0.1,2.2,8.4,65.3,4394261,4327528,3715565,2.53,84.9,27.3,724295,9.5,84.7,7.6,10.9,62.5,58.3,23.6,46334,25284,66.4,153600,368,776,18.1,17.9,1281,North Carolina,217404(1),3352151(1),137928718(1),2.1(1),669501,798791,421114,225500,131728,634155,84350,652713,16126939,46688776,205867299,88795885,114578173,12641,51290,North Carolina,196.1,48617.91,37
North Dakota,739482,672591,9.9,723393,672591,7.6,6.7,22.5,14.2,48.9,89.6,1.8,5.4,1.2,0.1,1.9,2.9,87.3,672591,6.6,22.3,14.5,49.5,90.0,1.2,5.4,1.0,Z,1.8,2.0,88.9,339313,317498,287270,2.31,90.9,27.2,53157,6.8,82.8,2.7,5.3,69.5,65.6,16.9,53741,29732,66.1,132400,411,645,12.0,11.8,1214,North Dakota,23551(1),331278(1),14705136(1),8.199999999999999(1),50952,61546,28320,15236,1773,56215,6136,47987,1214201,3906885,11349799,13099348,10527300,16495,10532,North Dakota,9.7,69000.80,38
Ohio,11594163,11536725,0.5,11570808,11536503,0.3,6.0,22.9,15.1,51.1,83.2,12.5,0.3,1.9,Z,2.0,3.4,80.5,11536504,6.2,23.7,14.1,51.2,82.7,12.2,0.2,1.7,Z,2.1,3.1,81.1,5123997,5127508,4557655,2.47,88.5,25.2,864923,9.6,85.5,4.0,6.6,63.8,59.5,23.0,48308,26046,67.5,130800,438,718,12.9,16.0,1288,Ohio,250842(1),4548143(1),191069504(1),2.6(1),743915,897939,485218,249180,82387,781252,88568,741333,17779905,65882498,295890890,135575279,138816008,12049,19903,Ohio,282.3,40860.69,39
Oklahoma,3878051,3751616,3.4,3850568,3751357,2.6,6.9,24.6,14.3,50.5,75.4,7.7,9.0,2.0,0.2,5.8,9.6,67.5,3751351,7.0,24.8,13.5,50.5,72.2,7.4,8.6,1.7,0.1,5.9,8.9,68.7,1682256,1664378,1444081,2.55,86.4,23.5,312492,11.4,82.5,5.5,9.4,61.5,56.1,21.0,45339,24208,67.1,112800,359,699,20.4,16.8,1137,Oklahoma,90954(1),1305183(1),53518174(1),3.5(1),266586,333797,153769,84385,44941,265958,34773,261924,5106585,18363159,60681358,48074682,43095353,11931,13583,Oklahoma,54.7,68594.92,40
Oregon,3970239,3831073,3.6,3930065,3831073,2.6,5.9,21.8,15.5,50.5,88.1,2.0,1.8,4.1,0.4,3.5,12.3,77.5,3831074,6.2,22.6,13.9,50.5,83.6,1.8,1.4,3.7,0.3,3.8,11.7,78.5,1684035,1675562,1516456,2.49,89.4,29.7,323205,9.7,82.0,9.8,14.8,63.0,58.5,22.5,50229,26809,62.0,238000,458,875,17.2,16.7,1615,Oregon,107549(1),1363523(1),58477866(1),1.6(1),261156,348154,152706,103553,31659,296239,32445,280735,7555764,20159620,66880653,51910777,50370919,13494,14843(1),Oregon,39.9,95988.01,41
Pennsylvania,12787209,12702884,0.7,12773801,12702379,0.6,5.6,21.3,16.4,51.1,83.2,11.5,0.3,3.1,0.1,1.8,6.3,78.4,12702379,5.7,22.0,15.4,51.3,81.9,10.8,0.2,2.7,Z,1.9,5.7,79.5,5565157,5567315,4958427,2.48,88.7,27.5,943417,9.2,88.0,6.0,10.3,63.0,58.3,25.9,52548,28502,69.8,164700,489,813,11.5,13.7,1442,Pennsylvania,296872(1),5169196(1),231749663(1),1.8(1),774209,981501,552636,265038,96208,849521,96101,816992,19625449,81977946,234840418,142859202,166842778,13323,21650,Pennsylvania,283.9,44742.70,42
